schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_3caac98d-8eb0-4a52-92b9-7b37937d72e6,"Grundschule München, Weilerstraße 1",Weilerstr. 1,81541,München,,,Grundschulen,,,,,,48.122928,11.587836,"Weilerstr. 1, 81541 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,58,0,3,55,41,6,0,Sankt-Martin-Straße,764.0,48.118558,11.595778,,Rosenheimer Platz,797.0,48.129184,11.593075,,Unknown,858.0,48.120559,11.576837,D,Regerplatz,159.0,48.124352,11.588025,,Carl-Amery-Platz,230.0,48.121445,11.585677,,Carl-Amery-Platz,292.0,48.120989,11.585192,,Regerplatz,151.0,48.124279,11.587974,,Regerplatz,168.0,48.124415,11.588216,,Aurbacherstraße,170.0,48.122344,11.589947,,73,D,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_328361ef-2e05-48cf-8bcf-74189395e408,"Grundschule München, Weißenseestraße 45",Weißenseestr. 45,81539,München,,,Grundschulen,,,,,,48.10679,11.585911,"Weißenseestr. 45, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,69,1,5,63,28,5,0,Unknown,423.0,48.104528,11.581327,,Unknown,425.0,48.104797,11.581022,A,Sankt-Quirin-Platz,426.0,48.10443,11.581396,U1,Chiemgaustraße,773.0,48.106707,11.596324,,Giesing Bahnhof,777.0,48.110493,11.594792,,Wettersteinplatz,870.0,48.10929,11.574805,,Traunsteiner Straße,242.0,48.104678,11.586709,220,Traunsteiner Straße,273.0,48.104742,11.587947,147; 220,Pöllatstraße,395.0,48.105194,11.590661,220,75,147; 220; A; U1,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_15087754-987c-4d54-a87c-fcfd13921ef1,"Grundschule München, Werdenfelsstraße 58",Werdenfelsstr. 58,81377,München,,,Grundschulen,,,,,,48.109828,11.507621,"Werdenfelsstr. 58, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,82,0,4,78,29,9,0,Unknown,790.0,48.116096,11.502618,,Unknown,797.0,48.11602,11.50221,,Unknown,818.0,48.116472,11.502884,,,,,,,,,,,,,,,,,Werdenfelsstraße,301.0,48.112531,11.507372,,Werdenfelsstraße,305.0,48.112536,11.508281,,Waldfriedhof,436.0,48.112104,11.502842,,36,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_d7750d08-d19c-4278-8a18-b4a88f51d7e2,"Grundschule München, Gustl-Bayrhammer-Str. 21",Gustl-Bayrhammer-Str. 21,81248,München,,,Grundschulen,,,,,,48.146884,11.407785,"Gustl-Bayrhammer-Str. 21, 81248 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,14,0,2,12,4,3,72,Freiham,783.0,48.140008,11.41007,,,,,,,,,,,,,,,,,,,,,,,,,,,Aubinger Allee,177.0,48.147064,11.405414,57; 157; N77,Aubinger Allee,183.0,48.14705,11.405335,,Annemarie-Renger-Straße,238.0,48.144905,11.406581,,47,157; 57; N77,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_72c5ab65-907e-4795-942e-26407f8c766c,"Grundschule München, Wilhelmstraße 29",Wilhelmstr. 29,80801,München,,,Grundschulen,,,,,,48.16156,11.582958,"Wilhelmstr. 29, 80801 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,200,0,17,183,124,32,0,Unknown,228.0,48.161652,11.586026,D,Unknown,232.0,48.161757,11.586078,,Unknown,240.0,48.162131,11.58608,C,Kurfürstenplatz,606.0,48.160266,11.575026,,Potsdamer Straße,611.0,48.166607,11.586231,,Kurfürstenplatz,620.0,48.159952,11.574957,,Bismarckstraße,114.0,48.162468,11.582246,,Münchner Freiheit,214.0,48.16192,11.585792,6,Friedrichstraße,258.0,48.159936,11.580472,,74,6; C; D,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_bab53552-16b9-438c-b0fd-44a4435bcbc1,"Grundschule München, Winthirplatz 6",Winthirplatz 6,80639,München,,,Grundschulen,,,,,,48.153282,11.5273,"Winthirplatz 6, 80639 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,102,0,13,89,63,18,0,Unknown,410.0,48.15286,11.532787,G,Unknown,419.0,48.154656,11.532554,A,Unknown,422.0,48.153169,11.53298,H,Renatastraße,375.0,48.156619,11.526578,,Volkartstraße,448.0,48.15512,11.532669,,Neuhausen,460.0,48.156313,11.531524,,Winthirplatz,159.0,48.151956,11.528089,,Winthirplatz,162.0,48.151857,11.527771,,Dankwartstraße,332.0,48.151384,11.523841,,48,A; G; H,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_bcdbec86-266a-4d7d-9195-90d829ce56cf,"Grundschule München, Zielstattstraße 74",Zielstattstr. 74,81379,München,,,Grundschulen,,,,,,48.102287,11.519935,"Zielstattstr. 74, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,41,0,4,37,18,3,18,"Aidenbachstraße, Ratzingerplatz",516.0,48.098513,11.523975,,Unknown,542.0,48.098037,11.523512,,Unknown,549.0,48.098142,11.523948,,,,,,,,,,,,,,,,,Aichacher Straße,315.0,48.104913,11.518343,,Murnauer Straße,315.0,48.101899,11.524141,,Aichacher Straße,317.0,48.104951,11.51843,,60,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_94313413-558d-4e86-aff5-693810556f13,"Grundschule München, Thelottstraße  20",Thelottstr. 20,80933,München,,,Grundschulen,,,,,,48.224021,11.562418,"Thelottstr. 20, 80933 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,9,0,1,8,2,3,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aschenbrennerstraße,465.0,48.219988,11.560759,,Aschenbrennerstraße,471.0,48.219974,11.56056,,Stösserstraße,579.0,48.219804,11.557839,,4,,20
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_b4dfc73b-1ebc-4237-8dc6-e197fcb29d2f,"Grundschule München, Kafkastraße 9",Kafkastr. 9,81737,München,,,Grundschulen,,,,,,48.098452,11.651917,"Kafkastr. 9, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,55,0,5,50,18,11,0,Unknown,461.0,48.101033,11.647059,,Neuperlach Zentrum,524.0,48.101184,11.646174,,Unknown,540.0,48.101786,11.646629,,,,,,,,,,,,,,,,,Sudermannallee,108.0,48.09761,11.652638,,Sudermannallee,143.0,48.097315,11.652814,,Kafkastraße,227.0,48.098461,11.648855,,47,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_5558bf12-4e99-474b-800a-d09dcd88b886,"Grundschule München, Nadistraße 3",Nadistr. 3,80809,München,,,Grundschulen,,,,,,48.181532,11.551212,"Nadistr. 3, 80809 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,26,0,2,24,13,4,48,Unknown,353.0,48.180016,11.55539,,Unknown,357.0,48.180042,11.555481,,Olympiazentrum,439.0,48.179298,11.55609,,,,,,,,,,,,,,,,,Helene-Mayer-Ring,237.0,48.182549,11.554019,,Helene-Mayer-Ring,271.0,48.183347,11.553643,,Helene-Mayer-Ring,281.0,48.183386,11.55379,173; 180; N76,38,173; 180; N76,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_e676cc13-084c-4640-955f-212df46f3239,"Grundschule München, Theodor-Heuss-Platz 6",Theodor-Heuss-Platz 6,81737,München,,,Grundschulen,,,,,,48.102159,11.639622,"Theodor-Heuss-Platz 6, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,52,0,6,46,24,4,0,Unknown,452.0,48.101188,11.645539,,Unknown,472.0,48.101282,11.64584,,Neuperlach Zentrum,498.0,48.101184,11.646174,,,,,,,,,,,,,,,,,Holzwiesenstraße,209.0,48.10335,11.637451,,Holzwiesenstraße,230.0,48.10246,11.636552,,Jakob-Kaiser-Straße,245.0,48.104353,11.639862,,65,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_5d29e730-3fff-40ad-97ed-7c5883a951e0,"Grundschule München, Guardinistraße 60",Guardinistr. 60,81375,München,,,Grundschulen,,,,,,48.11853,11.494343,"Guardinistr. 60, 81375 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,17,0,3,14,10,2,66,Unknown,289.0,48.118521,11.490444,,Unknown,330.0,48.118142,11.489939,,Unknown,349.0,48.118346,11.489655,,Gondrellplatz,729.0,48.124467,11.490171,1,Senftenauerstraße,815.0,48.125575,11.497381,,Senftenauerstraße,836.0,48.12568,11.497824,,Gräfelfinger Straße,157.0,48.117265,11.495292,167; N40,Gräfelfinger Straße,160.0,48.117222,11.495238,,Kurparkstraße,169.0,48.119415,11.496189,,60,1; 167; N40,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_7f4df66b-cc3f-4ea5-b679-0c54385c11b9,"Grundschule München, Am Hedernfeld 42-44",Am Hedernfeld 42 - 44,81375,München,,,Grundschulen,,,,,,48.120643,11.469096,"Am Hedernfeld 42 - 44, 81375 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,8,0,0,8,5,0,84,Unknown,801.0,48.115848,11.477143,,Unknown,813.0,48.115397,11.476732,,Unknown,826.0,48.115834,11.477579,,,,,,,,,,,,,,,,,Am Hedernfeld,69.0,48.12004,11.469304,,Am Hedernfeld,73.0,48.12001,11.469357,,Am Hedernfeld Nord,264.0,48.12183,11.472184,,54,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_391c8315-ab92-4eba-ac9e-ccff04a3c648,"Grundschule München, Dieselstraße 12",Dieselstr. 12 - 14,80993,München,,,Grundschulen,,,,,,48.185289,11.536174,"Dieselstr. 12 - 14, 80993 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,102,0,7,95,37,10,0,Unknown,427.0,48.183403,11.531163,B,Unknown,438.0,48.183574,11.530851,A,Unknown,450.0,48.182273,11.53212,G,,,,,,,,,,,,,,,,Riesstraße,225.0,48.184593,11.533327,,Lassallestraße,236.0,48.186963,11.534221,,Olympia-Einkaufszentrum Ost,236.0,48.183213,11.53683,,50,A; B; G,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_308e34e8-ab93-4a96-914e-5c5c91ff8cba,"Grundschule München, Dietzfelbingerplatz 5",Dietzfelbingerplatz 5,81739,München,,,Grundschulen,,,,,,48.086707,11.637921,"Dietzfelbingerplatz 5, 81739 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,17,0,2,15,11,4,66,Unknown,559.0,48.089558,11.644125,A,Unknown,575.0,48.089192,11.644709,,Unknown,576.0,48.089688,11.644265,B,,,,,,,,,,,,,,,,Ludwig-Erhard-Allee,196.0,48.085133,11.639101,,Ludwig-Erhard-Allee,224.0,48.085155,11.63984,,Ludwig-Linsert-Straße,230.0,48.086519,11.634844,,54,A; B,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_619f34fe-c221-4e91-acc2-2c45dbf4eca6,"Grundschule München, Keilberthstraße 6",Keilberthstr. 6,80939,München,,,Grundschulen,,,,,,48.20509,11.600757,"Keilberthstr. 6, 80939 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,10,0,1,9,4,4,80,Unknown,912.0,48.203114,11.612705,,Unknown,920.0,48.203242,11.612857,D,Unknown,921.0,48.202908,11.612741,C,,,,,,,,,,,,,,,,Keilberthstraße,87.0,48.205227,11.599597,,Keilberthstraße,89.0,48.205284,11.599588,,Gustav-Mahler-Straße,349.0,48.20222,11.602655,,40,C; D,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_185d1b60-5860-44fc-8627-34292e5f24a2,"Grundschule München, Pfeuferstraße 1",Pfeuferstr. 1,81373,München,,,Grundschulen,,,,,,48.127254,11.540206,"Pfeuferstr. 1, 81373 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,97,0,7,90,44,13,0,Unknown,702.0,48.133563,11.539925,E,Unknown,707.0,48.133598,11.539523,F,Unknown,719.0,48.13361,11.541963,D,,,,,,,,,,,,,,,,Ganghoferbrücke,103.0,48.127861,11.539153,,Ganghoferbrücke,116.0,48.127966,11.539066,,Herzog-Ernst-Platz,149.0,48.125918,11.540426,,85,D; E; F,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_e86ef637-91bf-4891-850e-84e1da5855fe,"Grundschule München, Ilse-von-Twardowski 1",Ilse-von-Twardowski-Platz 1,81829,München,,,Grundschulen,,,,,,48.143669,11.680074,"Ilse-von-Twardowski-Platz 1, 81829 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,18,0,4,14,11,1,64,Riem,174.0,48.143969,11.677772,,,,,,,,,,,,,,,,,,,,,,,,,,,Riem Bahnhof (S),73.0,48.143394,11.679179,,Riem Bahnhof (S),97.0,48.143351,11.678854,,"Riem (S), Dornach",134.0,48.14468,11.681061,,42,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_8036a0bd-5a83-4042-b044-095f15259cfe,"Grundschule München, Baierbrunner Str. 53",Baierbrunner Str. 53,81379,München,,,Grundschulen,,,,,,48.094475,11.531666,"Baierbrunner Str. 53, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,30,0,3,27,22,3,40,Siemenswerke,81.0,48.094307,11.53273,,"Siemenswerke, S-Bahn",415.0,48.097768,11.534298,,Baierbrunner Straße,440.0,48.098185,11.533739,,,,,,,,,,,,,,,,,Siemenswerke,89.0,48.095271,11.531516,,Siemenswerke,122.0,48.095538,11.53209,,Siemenswerke,130.0,48.095558,11.532327,,67,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_e54568d9-e3dd-4f04-ac5a-6af4c39b21e8,"Grundschule München, Am Bauhausplatz",Bauhausplatz 9,80807,München,,,Grundschulen,,,,,,48.186284,11.591815,"Bauhausplatz 9, 80807 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,48,0,8,40,18,4,4,,,,,,,,,,,,,,,,Schwabing Nord,69.0,48.186756,11.59122,,Domagkstraße,300.0,48.183797,11.590265,,Anni-Albers-Straße,750.0,48.17977,11.589212,,Schwabing Nord,178.0,48.187881,11.591926,,Schwabing Nord,220.0,48.187902,11.593517,,Domagkstraße,243.0,48.184123,11.591329,,39,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_a2b368be-76ba-460b-b780-b264c7be48bd,"Grundschule München, Josephsburgstr. 41",Josephsburgstr. 41,81673,München,,,Grundschulen,,,,,,48.126507,11.632493,"Josephsburgstr. 41, 81673 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,61,0,4,57,29,8,0,Unknown,20.0,48.126332,11.63246,,Unknown,50.0,48.126359,11.633129,,Unknown,71.0,48.126146,11.633284,,Baumkirchner Straße,288.0,48.128457,11.629937,,Mutschellestraße,428.0,48.126672,11.638248,,Schlüsselbergstraße,801.0,48.129742,11.622855,,Josephsburg,133.0,48.12665,11.634278,3,Josephsburg,157.0,48.127014,11.634461,2,Josephsburg,202.0,48.127174,11.635027,1,53,1; 2; 3,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_af5e859f-ebdb-4f40-81a3-93ef3c5a80e5,"Grundschule München, Helmut-Schmidt-Allee 45",Helmut-Schmidt-Allee 45,81249,München,,,Grundschulen,,,,,,48.141849,11.404531,"Helmut-Schmidt-Allee 45, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,20,0,3,17,8,4,60,Freiham,459.0,48.140008,11.41007,,,,,,,,,,,,,,,,,,,,,,,,,,,Bildungscampus Freiham,88.0,48.141701,11.403368,,Bildungscampus Freiham,99.0,48.141279,11.403499,,Helmut-Schmidt-Allee,234.0,48.14241,11.407569,,41,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_e41bfa75-d5ed-44dd-9c6c-b354e597d053,"Grundschule Ingolstadt, an der Münchener Straße",Münchener Str. 65,85051,Ingolstadt,,,Grundschulen,,,,,,48.747318,11.433455,"Münchener Str. 65, 85051 Ingolstadt","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_62e5cad6-f7d4-4ecd-8f60-aef1abaa35d2,"Grundschule Garching b. München, West",St.-Severin-Str. 3,85748,Garching b. München,,,Grundschulen,,,,,,48.248694,11.647823,"St.-Severin-Str. 3, 85748 Garching b. München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,28,0,1,27,16,0,44,Unknown,284.0,48.249567,11.651421,B,Garching,355.0,48.249285,11.652533,,Unknown,422.0,48.249485,11.653398,A,,,,,,,,,,,,,,,,"Garching, Maier-Leibnitz-Straße",103.0,48.249612,11.648031,,"Garching, Maier-Leibnitz-Straße",189.0,48.249823,11.645907,,"Garching, Auweg",220.0,48.246989,11.649336,,28,A; B,100
TH-12237,Staatliche Grundschule Münchenbernsdorf,Kleine Schlossstraße 5A,07589,Münchenbernsdorf,http://www.gs-muenchenbernsdorf.de,gs.muenchenbernsdorf@schulen-greiz.de,Grundschule,,"Landratsamt Greiz, Staatlicher Schulträger",036604/20929,036604/2229,,50.8203384,11.932286,"Kleine Schlossstraße 5A, 07589 Münchenbernsdorf","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_ab4f7302-2a29-41d4-8dff-b60bb4cbcf76,Grundschule Grafing b.München,Kapellenstr. 15,85567,Grafing b.München,,,Grundschulen,,,,,,48.049725,11.971974,"Kapellenstr. 15, 85567 Grafing b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_464cc138-96f0-497c-b066-7c75728ab2e2,"Grundschule Kirchheim b.München, an der Martin-Luther-Straße",Martin-Luther-Str. 2,85551,Kirchheim b.München,,,Grundschulen,,,,,,48.172487,11.74942,"Martin-Luther-Str. 2, 85551 Kirchheim b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_bb95f3e0-9f20-45cb-96ef-f9c5bd1ab02a,Grundschule Hochbrück in Garching b. München,Jahnstr. 1,85748,Garching b.München,,,Grundschulen,,,,,,48.247522,11.60741,"Jahnstr. 1, 85748 Garching b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,14,0,1,13,2,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hochbrück, Jahnstraße",28.0,48.247482,11.607786,290; 290V,"Hochbrück, Jahnstraße",54.0,48.247562,11.60814,,"Hochbrück, Jahnstraße",56.0,48.247599,11.608162,219V; 290; 290V,18,219V; 290; 290V,90
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_d78c9f48-1598-40ea-8906-4dfde2c240b3,"Grundschule Garching b. München, Ost",Professor-Angermair-Ring 41,85748,Garching b.München,,,Grundschulen,,,,,,48.245171,11.659309,"Professor-Angermair-Ring 41, 85748 Garching b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,9,0,3,6,4,1,82,Unknown,649.0,48.249485,11.653398,A,Garching,679.0,48.249285,11.652533,,Unknown,762.0,48.249567,11.651421,B,,,,,,,,,,,,,,,,"Garching, Professor-Angermair-Ring",287.0,48.244635,11.655513,,"Garching, Professor-Angermair-Ring",293.0,48.244638,11.655433,,"Garching, Professor-Angermair-Ring",300.0,48.2444,11.655423,,27,A; B,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_a0c4fc51-dc0a-4be1-ba2a-d5e6c65e17cc,"Grundschule Kirchheim b.München, an der Heimstettner Straße",Heimstettner Str. 12,85551,Kirchheim b.München,,,Grundschulen,,,,,,48.168438,11.756551,"Heimstettner Str. 12, 85551 Kirchheim b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_cec9117a-dc88-4e78-9b58-a1600be53b36,Fritz-Schäffer-Grundschule Ostermünchen in Tuntenhausen,Niedergartenweg 7,83104,Tuntenhausen,,,Grundschulen,,,,,,47.948907,12.033237,"Niedergartenweg 7, 83104 Tuntenhausen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_a6195dda-8a7a-4295-8f00-81ad9fb94a7d,Grundschule Waldmünchen,Allee 8,93449,Waldmünchen,,,Grundschulen,,,,,,49.379772,12.706034,"Allee 8, 93449 Waldmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_46fbe491-2a82-41f5-9775-e3f7daa89c59,Sankt-Ulrich-Grundschule Schwabmünchen,Museumstr. 16,86830,Schwabmünchen,,,Grundschulen,,,,,,48.180443,10.760796,"Museumstr. 16, 86830 Schwabmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
